,Rank,Movie,World Profit,Gross,National View,Foreign Profit,International View
130,131,The Lord of the Rings: The War of the Rohirrim,"$16,200,462",-,-,"$16,200,462",100%
131,132,The Last Dance,"$15,900,290",-,-,"$15,900,290",100%
132,133,"La planète des singes, une odyssée de l'espèce","$15,469,415","$10,001,000",64.7%,"$5,468,415",35.3%
133,134,Star Wars: Episode I - The Phantom Menace 2024 Re-release,"$15,397,270","$12,237,270",79.5%,"$3,160,000",20.5%
134,135,Face Off 7: One Wish,"$15,348,026",-,-,"$15,348,026",100%
135,136,Golden Kamuy,"$15,212,234",-,-,"$15,212,234",100%
136,137,Escape,"$15,138,702","$423,944",2.8%,"$14,714,758",97.2%
137,138,Doctor X: The Movie,"$14,873,918","$14,409,169",96.9%,"$464,749",3.1%
138,139,Cocorico,"$14,672,114",-,-,"$14,672,114",100%
139,140,The Marching Band,"$14,668,098",-,-,"$14,668,098",100%
140,141,Grand Maison Paris,"$14,602,614","$242,069",1.7%,"$14,360,545",98.3%
141,142,The Apprentice,"$14,439,610",-,-,"$14,439,610",100%
142,143,Better Man,"$14,291,561","$1,855,384",13%,"$12,436,177",87%
143,144,Twilight of the Warriors: Walled In,"$14,252,874","$7,629,085",53.5%,"$6,623,789",46.5%
144,145,Never Let Go,"$13,872,753","$1,967,220",14.2%,"$11,905,533",85.8%
145,146,Kinds of Kindness,"$13,222,021","$1,088,790",8.2%,"$12,133,231",91.8%
146,147,A Real Pain,"$13,070,645",-,-,"$13,070,645",100%
147,148,10 Lives,"$12,977,758","$6,725,687",51.8%,"$6,252,071",48.2%
148,149,Guest from the Future,"$12,886,684",-,-,"$12,886,684",100%
149,150,Late Night with the Devil,"$12,778,225","$8,335,797",65.2%,"$4,442,428",34.8%
150,151,Here,"$12,646,317","$2,002,270",15.8%,"$10,644,047",84.2%
151,152,Kleks Academy,"$12,610,418","$4,530,418",35.9%,"$8,080,000",64.1%
152,153,Monsieur Aznavour,"$12,598,456","$9,002,073",71.5%,"$3,596,383",28.5%
153,154,I'm Still Here,"$12,544,076","$3,722,291",29.7%,"$8,821,785",70.3%
154,155,The Chosen: S4 Episodes 1-3,"$12,311,598","$12,311,598",100%,-,-
155,156,Diamanti,"$12,264,114",-,-,"$12,264,114",100%
156,157,Father There is Only One 4,"$12,230,950","$12,215,102",99.9%,"$15,848",0.1%
157,158,Hijack 1971,"$12,121,760",-,-,"$12,121,760",100%
158,159,Handsome Guys,"$11,976,305",-,-,"$11,976,305",100%
159,160,Blue Lock: Episode Nagi,"$11,737,506",-,-,"$11,737,506",100%
160,161,Megalopolis,"$11,721,425","$11,647,099",99.4%,"$74,326",0.6%
161,162,The Room Next Door,"$11,712,947","$9,333,947",79.7%,"$2,379,000",20.3%
162,163,Article 370,"$11,481,729",-,-,"$11,481,729",100%
163,164,Niko: Beyond the Northern Lights,"$11,227,393",-,-,"$11,227,393",100%
164,165,Afraid,"$11,077,140",-,-,"$11,077,140",100%
165,166,Letuchiy korabl,"$11,075,466","$2,450,927",22.1%,"$8,616,210",77.8%
